"","GRTS_ID","deployment_ID","Date","Broadscale_habitat","Mixed","Main_habitat","Secondary_habitat","Relief_score","Lat","Lon","TimeIN","TimeOUT","Depth","Temp","Rug_mean","Rug_range","Remoteness","Aspect_mean","Exposure","Slope_mean","MCZ","SAC","Time_high_tide","Time_low_tide","Height_of_tide","Habitat"
"1595",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1596",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1597",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1598",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1599",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1600",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1601",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1602",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1603",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1604",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1605",275,"3008","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90935","-6.41646","19:06:00","10:00:00","32.2","12.95","1.88335844","5.861771122","4456.5","199.9805028","110","1.592641145","0","1","17:28:00","NA","5.69","Reefs"
"1606",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1607",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1608",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1609",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1610",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1611",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1612",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1613",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1614",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
"1615",276,"3228","23/08/2023","Circalittoral rock","Y","Circalittoral_rock","Mixed_faunal_turf","3","50.04531","-6.12135","09:20:00","10:33:00","31.5","15.2","3.598634683","6.261236429","13420","45.16681197","44.8","14.19113442","0","0","09:27:00","NA","4.8","Reefs"
